(4921, 11642)
(5636, 8685)
(4950, 12211)
(4364, 8235)
(2677, 7175)
(2637, 7030)
(2584, 6789)
(2613, 6994)
(2589, 6889)
(2613, 6876)
(2572, 6934)
(2562, 10022)
(3393, 8950)
(6742, 13173)
(3560, 9206)
(5264, 10442)
(3555, 9332)
(5247, 10379)
(3529, 9143)
(16823, 33689)
(3653, 9906)
(3681, 9695)
(5612, 11313)
(3870, 9974)
(4049, 10633)
(4029, 10564)
(4062, 10649)
(4086, 10671)
(3963, 10607)
(6066, 12075)
(7145, 12840)
(4194, 10994)
(4025, 10687)
(8699, 13111)
(4377, 11109)
(4014, 10749)
(6415, 12585)
(4212, 11075)
(5540, 10968)
(3737, 10320)
(17411, 33739)
(3979, 10359)
(3825, 10388)
(5886, 15102)
(3842, 10596)
(3856, 10111)
(5845, 11780)
(11287, 29759)
(4352, 11716)
(6795, 13231)
(3927, 10331)
(5880, 11727)
(5779, 11579)
(13189, 14599)
(7258, 10764)
(4534, 11986)
(4066, 11351)
(5938, 11173)
(3438, 9684)
(3324, 9135)
(3197, 9269)
(3246, 9153)
(3241, 9120)
(3256, 9145)
(3253, 9137)
(3295, 9128)
(3207, 9071)
(3232, 8946)
(3287, 9089)
(3218, 9026)
(3214, 9116)
(3227, 8986)
(3251, 9070)
(3234, 9107)
(3214, 9015)
(3279, 9061)
(3183, 9071)
(3246, 9063)
(3210, 9065)
(3207, 9006)
(3212, 9003)
(3236, 8978)
(3317, 9104)
(3219, 9074)
(3237, 9057)
(3198, 8967)
(3257, 8989)
(3204, 9017)
(3208, 9085)
(3213, 9007)
(3091, 8725)
(3096, 8736)
(3097, 8660)
(3108, 9261)
(2789, 7781)
(2755, 7860)
(2755, 7863)
(2811, 7806)
(2799, 7771)
(2768, 7780)
(2801, 7776)
(2793, 7845)
(2801, 7814)
(2778, 7800)
(2780, 7788)
(2788, 7815)
(2787, 7766)
(2804, 7871)
(2767, 7757)
(2792, 7818)
(2760, 7851)
(4165, 20624)
(3950, 8606)
(2952, 7997)
(2873, 7822)
(2835, 7834)
(2809, 7853)
(2809, 7784)
(2877, 7794)
(2812, 7883)
(2788, 7752)
(2757, 7741)
(2788, 7821)
(2816, 7820)
(2841, 7830)
(2782, 7793)
(2801, 7726)
(2769, 7892)
(2790, 7831)
(2788, 7828)
(2793, 7749)
(2788, 7814)
(2786, 7719)
(2800, 8926)
(2664, 7512)
(2729, 7603)
(2694, 7541)
(2696, 7523)
(2671, 7535)
(2721, 7492)
(2694, 7635)
(2709, 7582)
(2673, 7573)
(2673, 7657)
(2684, 7483)
(2680, 7547)
(2684, 7559)
(2672, 7549)
(2701, 7497)
(2690, 7521)
(2692, 7513)
(2686, 7479)
(2711, 7481)
(2697, 7562)
(2695, 7647)
(2718, 7508)
(2687, 7498)
(2675, 7426)
(2686, 7521)
(2701, 7519)
(2712, 7527)
(2690, 7535)
(2694, 7476)
(2697, 7491)
(2685, 7582)
(2694, 7529)
(2686, 7540)
(2730, 7509)
(57536, 9273)
(3536, 7859)
(2720, 7502)
(2691, 7581)
(2685, 7550)
(2717, 7523)
(2733, 7494)
(2678, 7567)
(2691, 7520)
(11001, 28324)
(10068, 28513)
(10023, 28327)
(10078, 28413)
(10059, 28183)
(10130, 28115)
(2893, 8091)
(2892, 8051)
(2877, 8022)
(2864, 8092)
(2900, 8124)
(2867, 8014)
(2905, 8146)
(2868, 8107)
(2921, 8034)
(2896, 8114)
(2854, 8077)
(2908, 9025)
(2415, 6821)
(2424, 6920)
(2461, 6823)
(2473, 6848)
(2476, 6835)
(2468, 6847)
(2435, 6825)
(2445, 6896)
(2462, 8203)
(2374, 6679)
(2382, 6671)
(2358, 6595)
(2370, 6703)
(2379, 6645)
(2363, 6627)
(2368, 6677)
(2364, 28820)
(3284, 7023)
(2480, 6694)
(2387, 6752)
(2394, 6721)
(2388, 6720)
(2374, 6617)
(2394, 6640)
(2380, 6652)
(2382, 6660)
(2386, 6676)
(2372, 6673)
(2377, 6667)
(2418, 6646)
(2376, 6648)
(2384, 6655)
(2399, 6732)
(2392, 6641)
(2378, 6645)
(2371, 6708)
(2373, 6678)
(2432, 6703)
(2403, 6649)
(2403, 6654)
(2374, 6643)
(2392, 6676)
(2426, 6645)
(2395, 6650)
(2357, 6622)
(2415, 6647)
(2389, 6700)
(2421, 6686)
(2399, 6721)
(2404, 6678)
(2378, 6736)
(2394, 6638)
(2386, 6621)
(2369, 6687)
(2365, 6659)
(2391, 6676)
(2365, 6611)
(2470, 6677)
(2399, 6582)
(2367, 6659)
(2366, 6672)
(2345, 6592)
(2366, 6673)
(2379, 6651)
(2376, 6686)
(2392, 6660)
(2376, 6643)
(2404, 6641)
(2388, 6623)
(2377, 6654)
(2372, 6659)
(2371, 6639)
(2381, 6728)
(2445, 6675)
(2391, 6588)
(2409, 6646)
(2350, 6657)
(2388, 6645)
(2365, 6624)
(2361, 6666)
(2360, 6629)
(2395, 6649)
(2381, 6647)
(2360, 6705)
(3511, 7912)
(6681, 11768)
(3657, 9681)
(3356, 9506)
(3380, 9446)
(3528, 9489)
(2680, 7540)
(2744, 7511)
(2665, 7570)
(2666, 7537)
(2698, 7562)
(2701, 7577)
(2686, 7587)
(2672, 7490)
(2705, 7550)
(2694, 7476)
(2680, 7510)
(2664, 7625)
(2694, 7491)
(2686, 7530)
(2677, 7535)
(2800, 7533)
(2680, 7548)
(2712, 7472)
(2672, 7497)
(2726, 7498)
(2650, 7535)
(2653, 7557)
(2691, 7554)
(2676, 7531)
(2679, 7491)
(2689, 7483)
(2838, 7573)
(2700, 7499)
(2721, 7497)
(2669, 7576)
(2778, 7536)
(2797, 7665)
(2696, 7549)
(2651, 7476)
(2702, 7531)
(2662, 7531)
(2681, 7582)
(2699, 7520)
(2682, 7492)
(2379, 6617)
(2358, 6650)
(2377, 6598)
(2393, 6611)
(3494, 7952)
(2488, 6790)
(2404, 6735)
(2371, 6613)
(2427, 6728)
(2360, 6653)
(2353, 6648)
(2371, 6605)
(2375, 6656)
(2352, 6686)
(2339, 6593)
(2349, 6653)
(2361, 6611)
(2354, 6635)
(2349, 6667)
(2340, 6724)
(2376, 6689)
(2363, 6668)
(2342, 6683)
(2365, 6600)
(2437, 7918)
(2285, 6430)
(2317, 6425)
(2306, 6459)
(2286, 6444)
(2303, 6474)
(2282, 6437)
(2311, 6478)
(2300, 6412)
(2299, 6515)
(2320, 6443)
(2324, 6473)
(2301, 6421)
(2301, 6483)
(2304, 6427)
(2314, 6461)
(2358, 6500)
(2290, 6438)
(2301, 6427)
(2299, 6432)
(2273, 6368)
(2327, 6473)
(2275, 6414)
(2282, 6490)
(2312, 6478)
(2295, 6434)
(2301, 6511)
(2290, 6498)
(2290, 6453)
(2285, 6441)
(2295, 6415)
(2311, 6466)
(2361, 6538)
(2295, 6481)
(2317, 6471)
(2297, 6508)
(2305, 6456)
(2282, 6470)
(2280, 6405)
(2312, 6475)
(2270, 6472)
(2297, 6465)
(2298, 6471)
(2280, 6486)
(2308, 6531)
(2274, 6424)
(2283, 6464)
(2298, 6479)
(2354, 6474)
(2309, 6431)
(2295, 22618)
(3174, 6849)
(2353, 6521)
(2299, 6540)
(2300, 6444)
(2288, 6360)
(2197, 6137)
(2175, 6042)
(2180, 6051)
(2165, 6127)
(2185, 6119)
(2205, 6074)
(2199, 6122)
(2173, 6089)
(2276, 6099)
(2214, 6085)
(2183, 6139)
(2171, 6174)
(2207, 6183)
(2176, 6103)
(2176, 6066)
(2175, 6097)
(2173, 6093)
(2192, 6139)
(2208, 6074)
(2180, 6180)
(2198, 6129)
(2166, 6114)
(2180, 6146)
(2178, 6084)
(2214, 6168)
(2178, 6112)
(2223, 6119)
(2176, 6077)
(2179, 6096)
(2176, 6129)
(2181, 6118)
(2199, 6100)
(2180, 6147)
(2173, 6063)
(2193, 6094)
(2176, 6101)
(2163, 6018)
(2189, 6175)
(2186, 6096)
(2216, 6097)
(2244, 6149)
(2193, 6103)
(2170, 6092)
(2195, 6097)
(2228, 6115)
(2156, 6081)
(10090, 28166)
(10203, 28124)
(10032, 28334)
(10141, 28111)
(10137, 114511)
(14786, 32272)
(3574, 9698)
(3397, 9481)
(3390, 9360)
(3356, 9463)
(3409, 9482)
(3381, 9401)
(3393, 9419)
(3314, 9391)
(3363, 9403)
(3324, 9408)
(3339, 9361)
(3350, 9378)
(3390, 9373)
(3375, 10835)
(3510, 9868)
(3489, 9892)
(3514, 9742)
(3498, 9807)
(3486, 9851)
(3515, 9805)
(3585, 9777)
(3642, 9995)
(3552, 9799)
(3502, 9733)
(3517, 9817)
(3523, 9758)
(3540, 9681)
(3529, 9810)
(3517, 9799)
(3529, 9771)
(3477, 9693)
(3494, 9819)
(3504, 9752)
(3510, 9853)
(3485, 9829)
(3503, 9794)
(4881, 12498)
(4856, 10925)
(6388, 62667)
(6371, 13261)
(4958, 12563)
(4580, 12816)
(4251, 12485)
