(93712, 276284)
(98079, 269036)
(82485, 228853)
(120838, 260459)
(71769, 237422)
(87188, 235774)
(66434, 236298)
(75675, 242049)
(65909, 221035)
(65214, 491413)
(83676, 235718)
(75113, 234968)
(70030, 253392)
(65147, 229700)
(75237, 228886)
(67037, 226572)
(66929, 228989)
(58161, 197181)
(58195, 197469)
(58242, 198515)
(55144, 185654)
(51782, 182305)
(54940, 190601)
(54368, 184346)
(51469, 182777)
(60156, 197008)
(66929, 226217)
(66962, 226064)
(59805, 208245)
(60306, 492910)
(69161, 245563)
(74426, 267098)
(78240, 420783)
(305745, 461375)
(115099, 415274)
(87948, 307797)
(81340, 288939)
(112033, 291681)
(86137, 293255)
(64432, 219261)
(64551, 483161)
(78805, 271462)
(74953, 260002)
(77865, 264907)
(77882, 270831)
(78115, 253659)
(60190, 203977)
(60073, 210010)
(52903, 179997)
(53195, 180012)
(52727, 189481)
(53332, 426747)
(229843, 383634)
(136667, 348828)
(117753, 323315)
(93383, 292358)
(84329, 287828)
(98265, 395279)
(89929, 295117)
(78693, 715293)
(81166, 280077)
(78573, 245555)
(69637, 236115)
(69595, 243530)
(72272, 236781)
(69743, 253306)
(75811, 259710)
(75227, 249855)
(58453, 198242)
(58345, 314761)
(137889, 365636)
(66889, 226547)
(66756, 223617)
(60507, 204343)
(60371, 204454)
(60222, 208630)
(56133, 191238)
(56241, 190822)
(56330, 184090)
(53087, 183015)
(53067, 288256)
(53597, 184854)
(62449, 212080)
(61955, 210891)
(61993, 209169)
(56409, 195845)
(56383, 192982)
(59064, 190434)
(66823, 239090)
(67288, 247302)
(66664, 706376)
(451097, 387787)
(86519, 292268)
(80960, 284570)
(68085, 284377)
(70109, 245059)
(72363, 254230)
(107240, 314903)
(89603, 291375)
(86559, 291877)
(85772, 314213)
(143731, 312150)
(75495, 256561)
(74519, 260221)
(74787, 258125)
(75059, 254772)
(74835, 397532)
(134345, 437638)
(74779, 255580)
(75156, 255727)
(69091, 240429)
(69798, 235554)
(69035, 235362)
(69148, 240829)
(72016, 235094)
(65332, 403960)
(78211, 271692)
(78034, 265506)
(61670, 214082)
(61821, 214913)
(61987, 209902)
(59765, 204023)
(59891, 204261)
(60157, 222281)
(56197, 191619)
(56245, 196187)
(57882, 428868)
(228698, 638451)
(95327, 306007)
(89798, 316899)
(85224, 342902)
(111654, 529523)
(86228, 481031)
(82394, 279134)
(207505, 293564)
(74503, 261783)
(75204, 243240)
(66556, 226883)
(66704, 238744)
(78557, 398751)
(69693, 236275)
(69208, 240115)
(68987, 203997)
(58067, 197278)
(58219, 387366)
(64035, 220785)
(62092, 212550)
(62122, 216347)
(62140, 212037)
(58530, 190960)
(56185, 317064)
(56528, 198921)
(58008, 197727)
(57685, 916965)
(62592, 206477)
(61609, 201408)
(60883, 203143)
(60178, 209222)
(56272, 190751)
(56293, 191191)
(192572, 191899)
(55052, 472956)
(63056, 227343)
(63111, 248835)
(74908, 293748)
(77488, 274803)
(77509, 489189)
(208881, 301646)
(106515, 606725)
(89467, 327072)
(95087, 274546)
(78341, 433219)
(77669, 1458573)
(100596, 1020665)
(354571, 262432)
(77747, 4994520)
(86704, 230828)
(72887, 216699)
(65422, 216355)
(56523, 201836)
(59861, 210743)
(59237, 210419)
(59002, 207176)
(55409, 196680)
(55025, 196876)
(55209, 210707)
(54915, 417382)
(65721, 227673)
(63401, 266557)
(64097, 229173)
(64803, 254083)
(68556, 254262)
(70988, 534526)
(89405, 303745)
(82332, 253896)
(100411, 406696)
(165791, 294243)
(82608, 298543)
(78406, 276063)
(66346, 437934)
(80696, 471370)
(81381, 446493)
(76175, 262626)
(80577, 583174)
(79276, 276050)
(78885, 277999)
(161506, 240872)
(58597, 216394)
(266375, 237111)
(70093, 400461)
(70392, 237120)
(65931, 220233)
(57102, 203915)
(56944, 195649)
(51824, 185022)
(51826, 234183)
(53029, 186528)
(51795, 214740)
(74630, 245045)
(72407, 245125)
(59934, 213186)
(60057, 339140)
(60221, 208137)
(62009, 216636)
(62106, 210934)
(62151, 211032)
(64259, 223821)
(168700, 454856)
(74611, 379305)
(94716, 329221)
(89791, 801584)
(89586, 283569)
(77957, 286584)
(130325, 383635)
(95506, 281499)
(129987, 591517)
(79038, 266704)
(191134, 447586)
(80479, 273757)
(77714, 251736)
(70226, 254941)
(70901, 253791)
(71101, 256772)
(70727, 254096)
(71014, 254670)
(63183, 663744)
(72255, 245653)
(120602, 677646)
(73522, 260646)
(120083, 355499)
(90348, 307590)
(90070, 310772)
(90108, 450388)
(85598, 285450)
(90650, 504797)
(82537, 279181)
(81187, 278259)
(81654, 265751)
(69607, 236468)
(92119, 313786)
